data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date,translated_product,tinder_bio
10775898,5.0,,Husholdningsartikler,Bagepapir,1,12,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_1611x2874_3229x4814_zoom.jpg,2025-10-25,2025-10-31,Bakery paper,"✨ Crinkles with a smile, perfect for wrapping your dreams—no baking required. ✨"
10775894,29.0,Always,Intimhygiejne,Trusseindlæg,1,60,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_2420x809_4913x2907_zoom.jpg,2025-10-25,2025-10-31,Panty posts,✨ Always ready to satisfy the cravings of the perfect partner!
10775985,30.0,,Papir,Papir,1,50,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_31_3104x5163_4913x6761_zoom.jpg,2025-10-25,2025-10-31,Paper,"Paper: The quiet artist who turns ideas into reality, one fold at a time. 📜"
10775381,20.0,Clipper,Te,Tebreve,1,20,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_5_26x2532_2473x4657_zoom.jpg,2025-10-25,2025-10-31,Tea Letters,"✨ Teas that write stories, one cup at a time. 🌱"
10775896,29.0,Tampax,Intimhygiejne,Tamponer,1,20,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_2420x809_4913x2907_zoom.jpg,2025-10-25,2025-10-31,Tampons,"✨ Always ready for the unexpected, whether it's a surprise visit or a spontaneous adventure."
10775924,99.0,Neophos,Opvask,Maskinopvask-tabs,1,62,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_3308x4867_4860x6847_zoom.jpg,2025-10-25,2025-10-31,Machine-washing losses,✨ Laundry hero with a twist—machine-washing losses are my new favorite thing! ✨
10775892,29.0,Always,Intimhygiejne,Bind,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_2420x809_4913x2907_zoom.jpg,2025-10-25,2025-10-31,Volume,Volume: The quiet force that keeps everything in check. 🌟
10775564,10.0,,Bånd/papir,Gavepapir,1,5,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_35_151x285_4689x6756_zoom.jpg,2025-10-25,2025-10-31,Gift paper,"Wrap presents in magic, but never forget the joy of a well-placed gift paper. 🎁✨"
10775535,24.0,Energizer,Ladere & batterier,Batterier,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_33_2569x2430_4725x4581_zoom.jpg,2025-10-25,2025-10-31,Batteries,"⚡️ I charge your day with energy, one battery at a time. 📱"
10775918,29.0,Classic,Husholdningspapir,Toiletpapir,1,12,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_1644x4880_3400x6893_zoom.jpg,2025-10-25,2025-10-31,Toilet paper,"Smoosh the mess, wipe the drama, and keep the vibe rolling — I'm the ultimate clean-up hero! 🚿"
