data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,start_date,end_date,public_urls,translated_product,tinder_bio
10834343,12.0,Kleenex,Lommetørklæder,Lommetørklæder,1,64,pk.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810480/2025-11-22/10834343.jpg,Handkerchiefs,"✨ Wipe away the stress, one soft swipe at a time. ✨"
10834328,89.0,Fitness Pharma,Kosttilskud,Kosttilskud,1,300,ds.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810480/2025-11-22/10834328.jpg,Food supplements,✨ Boost your energy and focus with our supercharged supplements! ✨
10834326,89.0,Fitness Pharma,Fiskeolie,Fiskeolie,1,200,ds.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810481/2025-11-22/10834326.jpg,Fish oil,"Omega-3 powerhouse, turning everyday moments into epic ones 🎉"
10834330,99.0,Neophos,Opvask,Maskinopvask-tabs,1,70,pk.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810481/2025-11-22/10834330.jpg,Machine-washing losses,"Wash your clothes, but don't worry—my losses are all covered. 💧✨"
10834093,15.0,,Hobbyartikler,Limstift,1,10,pk.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810481/2025-11-22/10834093.jpg,Glue stick,"✨ Glue stick: Fixing messes, one sticky moment at a time! ✨"
10834490,10.0,Godt Papir,Husholdningspapir,Toiletpapir,1,6,pk.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810482/2025-11-22/10834490.jpg,Toilet paper,"Soft, reliable, and always ready for the next adventure 🚶‍♂️"
10833970,10.0,Godt Papir,Husholdningspapir,Toiletpapir,1,6,pk.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810482/2025-11-22/10833970.jpg,Toilet paper,Tired of the daily grind? I'm here to keep you fresh and ready for the next adventure 🌟
10834010,15.0,,Jul,Knallerter,1,8,pk.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810483/2025-11-22/10834010.jpg,Mopeds,"Ride, rinse, repeat — I'm the mopeds, cleaning up after the chaos! 🚗🧼"
10834069,20.0,Premieur,Tarteletter,Luksus Tarteletter ,1,10,pk.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810483/2025-11-22/10834069.jpg,Luxury Tartelettes,✨ Luxurious tartlets that melt in your mouth and make every bite feel like a palace. 🌟
10834338,45.0,A+,Vaskemiddel,Vaskemiddel-tabs,1,20,pk.,Netto,2025-11-22,2025-11-28,https://res.cloudinary.com/dfqzmnlga/image/upload/v1763810483/2025-11-22/10834338.jpg,Laundry loss,✨ Laundry loss: When clothes forget their own tags and start dancing in the wash. 💩
