data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date,public_urls,translated_product,translated_category,tinder_bio
10888291,16.0,DAVA Foods,Skalæg,Økologiske æg M/L,1,8,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_2_2526x4560_4928x6827_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229402/2025-12-20/10888291.jpg,Organic eggs M/L,Shell eggs,✨ Eggcellent twist on breakfast! 🥚
10888666,24.0,Energizer,Ladere & batterier,Batterier,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_20_232x4663_4771x6838_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229402/2025-12-20/10888666.jpg,Batteries,Loading & Batteries,⚡️ Never stop powering up the fun! 🌟
10888298,6.0,,Grønt,Kartofler,1,2,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_4_1306x171_4966x3610_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229403/2025-12-20/10888298.jpg,Potatoes,Green,"Tasty, versatile, and always a hit—like a perfect partner in any meal! 🍬"
10888445,7.0,Exotic,Sodavand,Sodavand,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_135x3912_4928x6536_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229404/2025-12-20/10888445.jpg,Soda water,Soda water,"Sip, splash, and smile—always ready to refresh your day! 🥤"
10888448,7.0,Squash,Sodavand,Appelsinsodavand Sukkerfri,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_135x3912_4928x6536_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229405/2025-12-20/10888448.jpg,Orange soda Sugar-free,Soda water,"Sip on sweetness, never sweetened—just the flavor you crave. 🍊"
10888443,7.0,Raspberry,Sodavand,Hindbærsodavand,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_135x3912_4928x6536_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229406/2025-12-20/10888443.jpg,Raspberry soda,Soda water,"Raspberry soda: Sip, savor, and smile—because life's too sweet to skip a flavor. 🍓"
10888447,7.0,Squash,Sodavand,Appelsinsodavand,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_135x3912_4928x6536_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229407/2025-12-20/10888447.jpg,Orange soda,Soda water,"Sip, savor, and smile—orange soda is the perfect punch of flavor. 🍊"
10888442,7.0,Coca Cola Zero,Sodavand,Cola,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_135x3912_4928x6536_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229407/2025-12-20/10888442.jpg,Cola,Soda water,"Fizzing fun, never boring — just ready to spark a conversation! 🐾"
10888279,7.0,Coca Cola,Sodavand,Cola,1,1,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_135x3912_4928x6536_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229408/2025-12-20/10888279.jpg,Cola,Soda water,"Fizzing with fun, I'm the perfect companion for any awkward moment—especially those with a twist of sweetness. 🎉"
10888278,4.95,Arla,Mælk,Sødmælk,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_2942x1386_4896x3907_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229408/2025-12-20/10888278.jpg,Whole milk,Milk,"Smooth, creamy, and perfectly soft — like a hug in a bottle. 🥛"
10888302,6.0,,Grønt,Rødkål,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_4_32x3459_4922x6946_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229409/2025-12-20/10888302.jpg,Red cabbage,Green,"Red cabbage: The vibrant rebel of the salad world, turning boring into bold. 🍅"
10888727,30.0,,Lys/lyskæder,LED fyrfadslys,1,4,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_20_216x20_2661x2412_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229409/2025-12-20/10888727.jpg,LED tea light,Lights/light chains,✨ Glow up your space with a little cheerlight magic! ✨
10888294,6.0,,Frugt,Clementiner,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_3_0x1246_4939x5203_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229410/2025-12-20/10888294.jpg,Clementines,Fruit,"Clementines: sweet, sour, and always ready to make your day just a little sweeter. 🍐"
