data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date
10775898,5.00,,Husholdningsartikler,Bagepapir,1,12,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_1611x2874_3229x4814_zoom.jpg,2025-10-25,2025-10-31
10775894,29.00,Always,Intimhygiejne,Trusseindlæg,1,60,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_2420x809_4913x2907_zoom.jpg,2025-10-25,2025-10-31
10775985,30.00,,Papir,Papir,1,50,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_31_3104x5163_4913x6761_zoom.jpg,2025-10-25,2025-10-31
10775381,20.00,Clipper,Te,Tebreve,1,20,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_5_26x2532_2473x4657_zoom.jpg,2025-10-25,2025-10-31
10775896,29.00,Tampax,Intimhygiejne,Tamponer,1,20,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_2420x809_4913x2907_zoom.jpg,2025-10-25,2025-10-31
10775924,99.00,Neophos,Opvask,Maskinopvask-tabs,1,62,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_3308x4867_4860x6847_zoom.jpg,2025-10-25,2025-10-31
10775892,29.00,Always,Intimhygiejne,Bind,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_2420x809_4913x2907_zoom.jpg,2025-10-25,2025-10-31
10775564,10.00,,Bånd/papir,Gavepapir,1,5,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_35_151x285_4689x6756_zoom.jpg,2025-10-25,2025-10-31
10775535,24.00,Energizer,Ladere & batterier,Batterier,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_33_2569x2430_4725x4581_zoom.jpg,2025-10-25,2025-10-31
10775918,29.00,Classic,Husholdningspapir,Toiletpapir,1,12,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_28_1644x4880_3400x6893_zoom.jpg,2025-10-25,2025-10-31
10775352,20.00,Livskraft,Skalæg,Skrabeæg M/L,1,8,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_4_33x434_2407x2440_zoom.jpg,2025-10-25,2025-10-31
10775422,39.00,A+,Vaskemiddel,Vaskemiddel-tabs,1,14,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_6_53x4538_2499x6774_zoom.jpg,2025-10-25,2025-10-31
10775964,30.00,,Hobbyartikler,Limstift,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_31_171x2427_1710x4611_zoom.jpg,2025-10-25,2025-10-31
10775980,30.00,,Papir,Papir,1,8,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_31_3104x5163_4913x6761_zoom.jpg,2025-10-25,2025-10-31
10775567,10.00,,Diverse kontorartikler,Tape,1,2,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_35_151x285_4689x6756_zoom.jpg,2025-10-25,2025-10-31
10775439,6.00,,Grønt,Løg,1,1,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_8_26x645_2532x3519_zoom.jpg,2025-10-25,2025-10-31
10775581,25.00,,Bestik,Teske,1,4,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_36_206x5017_1763x6756_zoom.jpg,2025-10-25,2025-10-31
10775282,59.00,Exotic,Sodavand,Appelsinsodavand 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_1_2427x3828_4998x6380_zoom.jpg,2025-10-25,2025-10-31
10775277,59.00,Coca Cola,Sodavand,Cola 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_1_2427x3828_4998x6380_zoom.jpg,2025-10-25,2025-10-31
10775283,59.00,Orange,Sodavand,Appelsinsodavand 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_1_2427x3828_4998x6380_zoom.jpg,2025-10-25,2025-10-31
10775281,59.00,Coca Cola Zero,Sodavand,Cola 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_1_2427x3828_4998x6380_zoom.jpg,2025-10-25,2025-10-31
10775870,2.50,Pilsner,Øl,Øl,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_27_2986x105_4972x2868_zoom.jpg,2025-10-25,2025-10-31
10775871,2.50,Classic,Øl,Øl,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_27_2986x105_4972x2868_zoom.jpg,2025-10-25,2025-10-31
10775867,2.50,Light,Øl,Øl,1,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_27_2986x105_4972x2868_zoom.jpg,2025-10-25,2025-10-31
10775851,16.00,Faxe Kondi,Sodavand,Sportssodavand,1,2,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_27_112x4808_2538x6853_zoom.jpg,2025-10-25,2025-10-31
10775854,16.00,0 Kalorier,Sodavand,Sportssodavand,1,2,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/44/63737/Netto432025-1_27_112x4808_2538x6853_zoom.jpg,2025-10-25,2025-10-31
