data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date
10764946,8.00,Hello Sensitive,Babypleje,Vådservietter,1,100,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1554x3083_3220x4824_zoom.jpg,2025-10-18,2025-10-24
10764948,10.00,Hello Sensitive,Babypleje,Skumklude,1,50,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_50x2608_1522x4868_zoom.jpg,2025-10-18,2025-10-24
10764968,89.00,Fitness Pharma,Kosttilskud,Mineraler,1,250,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_3245x4780_4992x6858_zoom.jpg,2025-10-18,2025-10-24
10764969,89.00,Fitness Pharma,Kosttilskud,Kosttilskud,1,200,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_3245x4780_4992x6858_zoom.jpg,2025-10-18,2025-10-24
10764967,89.00,Fitness Pharma,Fiskeolie,Fiskeolie,1,200,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_3245x4780_4992x6858_zoom.jpg,2025-10-18,2025-10-24
10764950,20.00,Newborn,Bleer,Bleer str 1 2-4 kg,1,28,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_0x4899_1529x6808_zoom.jpg,2025-10-18,2025-10-24
10764956,30.00,Mini,Bleer,Bleer str 2 3-6 kg,1,38,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1535x4855_3207x6864_zoom.jpg,2025-10-18,2025-10-24
10764963,50.00,Midi,Bleer,Bleer str 3 4-9 kg,1,56,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_3251x4855_4948x6840_zoom.jpg,2025-10-18,2025-10-24
10764964,50.00,Maxi,Bleer,Bleer str 4 7-18 kg,1,50,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_3251x4855_4948x6840_zoom.jpg,2025-10-18,2025-10-24
10764979,29.00,Libresse,Intimhygiejne,Bind,1,26,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_1585x2846_3295x4855_zoom.jpg,2025-10-18,2025-10-24
10764980,29.00,Libresse,Intimhygiejne,Trusseindlæg,1,26,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_1585x2846_3295x4855_zoom.jpg,2025-10-18,2025-10-24
10764965,50.00,Junior,Bleer,Bleer str 5 11-25 kg,1,44,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_3251x4855_4948x6840_zoom.jpg,2025-10-18,2025-10-24
10764966,50.00,XL,Bleer,Bleer str 6 15-30 kg,1,40,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_3251x4855_4948x6840_zoom.jpg,2025-10-18,2025-10-24
10764835,12.00,Sun Lolly,Frys selv,Is frys selv - Cola,1,8,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_12x4843_1660x6858_zoom.jpg,2025-10-18,2025-10-24
10764836,12.00,Sun Lolly,Frys selv,Is frys selv - Vindrue,1,8,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_23_12x4843_1660x6858_zoom.jpg,2025-10-18,2025-10-24
10764954,30.00,Junior,Bleer,Bleer str 5 Pants 12-17 kg,1,20,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1535x4855_3207x6864_zoom.jpg,2025-10-18,2025-10-24
10764955,30.00,XL,Bleer,Bleer str 6 Pants 15+ kg,1,18,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1535x4855_3207x6864_zoom.jpg,2025-10-18,2025-10-24
10764958,30.00,XXL Pants,Bleer,Bleer str 7 17+ kg,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_25_1535x4855_3207x6864_zoom.jpg,2025-10-18,2025-10-24
10764477,20.00,ØGO,Skalæg,Økologiske æg M/L,1,10,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_2_2327x243_4954x2334_zoom.jpg,2025-10-18,2025-10-24
10764978,49.00,,Husholdningspapir,Toiletpapir,1,24,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_25x4924_1641x6852_zoom.jpg,2025-10-18,2025-10-24
10764816,39.00,Americano,Kapselkaffe,Kaffekapsler,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24
10764824,39.00,Flat White,Kapselkaffe,Kaffekapsler,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24
10764820,39.00,Latte Macchiato Caramel,Kapselkaffe,Kaffekapsler,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24
10764822,39.00,Cafe Au Lait,Kapselkaffe,Kaffekapsler,1,16,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24
10764785,25.00,Espresso Supremo,Kapselkaffe,Kaffekapsler,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_75x69_3313x2527_zoom.jpg,2025-10-18,2025-10-24
10764791,25.00,Espresso Ristretto Intensiv,Kapselkaffe,Kaffekapsler,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_75x69_3313x2527_zoom.jpg,2025-10-18,2025-10-24
10764538,15.00,Samsø,Frugt,Æbler,1,6,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_7_2234x4693_4973x6877_zoom.jpg,2025-10-18,2025-10-24
10764788,25.00,Espresso Lungo Elegante,Kapselkaffe,Kaffekapsler,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_75x69_3313x2527_zoom.jpg,2025-10-18,2025-10-24
10764789,25.00,Espresso Ristretto,Kapselkaffe,Kaffekapsler,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_75x69_3313x2527_zoom.jpg,2025-10-18,2025-10-24
10764790,25.00,Espresso Lungo Profondo,Kapselkaffe,Kaffekapsler,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_75x69_3313x2527_zoom.jpg,2025-10-18,2025-10-24
10764982,29.00,Tena,Intimhygiejne,Bind,1,10,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_1585x2846_3295x4855_zoom.jpg,2025-10-18,2025-10-24
10764825,39.00,Nescafe Dolce Gusto,Kapselkaffe,Kaffekapsler Starbucks Pumpkin Spice Latte,1,12,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_22_50x4699_2490x6827_zoom.jpg,2025-10-18,2025-10-24
10764526,13.00,,Grønt,Agurk,1,3,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_6_0x2633_3251x4662_zoom.jpg,2025-10-18,2025-10-24
10764983,29.00,Tena,Intimhygiejne,Trusseindlæg,1,6,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_26_1585x2846_3295x4855_zoom.jpg,2025-10-18,2025-10-24
10764518,5.00,,Grønt,Agurk,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_6_31x780_2677x2627_zoom.jpg,2025-10-18,2025-10-24
10764501,5.00,,Grønt,Agurk,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/43/63675/Netto422025-1_3_2415x3594_3713x5011_zoom.jpg,2025-10-18,2025-10-24
